Question,Choice1,Choice2,Choice3,Choice4,Correct_Choice
Which element has the chemical symbol 'O'?,Helium,Osmium,Gold,Oxygen,Oxygen
Which country is home to the kangaroo?,South Africa,India,Canada,Australia,Australia
What is the powerhouse of the cell?,Ribosome,Nucleus,Mitochondria,Golgi apparatus,Mitochondria
Which planet is known as the Red Planet?,Earth,Jupiter,Mars,Venus,Mars
In which year did the Titanic sink?,1905,1912,1920,1915,1912
Which planet is known as the Red Planet?,Earth,Venus,Jupiter,Mars,Earth
Who painted the Mona Lisa?,Michelangelo,Pablo Picasso,Leonardo da Vinci,Vincent van Gogh,Leonardo da Vinci
Which country is home to the kangaroo?,South Africa,Australia,Canada,India,South Africa
Which country is home to the kangaroo?,Canada,India,Australia,South Africa,South Africa
Who painted the Mona Lisa?,Michelangelo,Vincent van Gogh,Leonardo da Vinci,Pablo Picasso,Michelangelo
What is the powerhouse of the cell?,Mitochondria,Ribosome,Golgi apparatus,Nucleus,Ribosome
Which planet is known as the Red Planet?,Jupiter,Venus,Earth,Mars,Earth
Which planet is known as the Red Planet?,Mars,Venus,Earth,Jupiter,Jupiter
Who painted the Mona Lisa?,Pablo Picasso,Leonardo da Vinci,Michelangelo,Vincent van Gogh,Michelangelo
Which country is home to the kangaroo?,Australia,South Africa,India,Canada,Canada
Which country is home to the kangaroo?,India,South Africa,Canada,Australia,Australia
What is the hardest natural substance on Earth?,Iron,Diamond,Graphite,Gold,Diamond
Which planet is known as the Red Planet?,Earth,Mars,Venus,Jupiter,Mars
Which element has the chemical symbol 'O'?,Oxygen,Osmium,Gold,Helium,Helium
Which country is home to the kangaroo?,Australia,Canada,India,South Africa,India
Who wrote 'To Kill a Mockingbird'?,Ernest Hemingway,J.K. Rowling,Mark Twain,Harper Lee,Harper Lee
Which planet is known as the Red Planet?,Earth,Jupiter,Mars,Venus,Earth
Which element has the chemical symbol 'O'?,Osmium,Gold,Helium,Oxygen,Oxygen
What is the capital of France?,Madrid,Rome,Berlin,Paris,Paris
What is the capital of France?,Berlin,Paris,Madrid,Rome,Madrid
Who painted the Mona Lisa?,Vincent van Gogh,Pablo Picasso,Michelangelo,Leonardo da Vinci,Pablo Picasso
Who painted the Mona Lisa?,Leonardo da Vinci,Pablo Picasso,Michelangelo,Vincent van Gogh,Vincent van Gogh
What is the largest ocean on Earth?,Arctic Ocean,Pacific Ocean,Indian Ocean,Atlantic Ocean,Pacific Ocean
In which year did the Titanic sink?,1905,1912,1920,1915,1905
Who painted the Mona Lisa?,Pablo Picasso,Michelangelo,Vincent van Gogh,Leonardo da Vinci,Leonardo da Vinci
What is the hardest natural substance on Earth?,Iron,Diamond,Gold,Graphite,Iron
Which country is home to the kangaroo?,Canada,Australia,South Africa,India,Australia
Who wrote 'To Kill a Mockingbird'?,J.K. Rowling,Ernest Hemingway,Harper Lee,Mark Twain,Ernest Hemingway
What is the capital of France?,Rome,Madrid,Paris,Berlin,Berlin
Who wrote 'To Kill a Mockingbird'?,Harper Lee,Mark Twain,Ernest Hemingway,J.K. Rowling,J.K. Rowling
Which planet is known as the Red Planet?,Jupiter,Earth,Venus,Mars,Earth
What is the largest ocean on Earth?,Atlantic Ocean,Arctic Ocean,Indian Ocean,Pacific Ocean,Arctic Ocean
What is the powerhouse of the cell?,Nucleus,Golgi apparatus,Mitochondria,Ribosome,Mitochondria
Who painted the Mona Lisa?,Vincent van Gogh,Michelangelo,Pablo Picasso,Leonardo da Vinci,Pablo Picasso
Which country is home to the kangaroo?,Canada,India,South Africa,Australia,Canada
What is the powerhouse of the cell?,Mitochondria,Golgi apparatus,Ribosome,Nucleus,Nucleus
What is the largest ocean on Earth?,Indian Ocean,Pacific Ocean,Arctic Ocean,Atlantic Ocean,Atlantic Ocean
Who wrote 'To Kill a Mockingbird'?,Ernest Hemingway,Harper Lee,J.K. Rowling,Mark Twain,Harper Lee
What is the largest ocean on Earth?,Arctic Ocean,Indian Ocean,Atlantic Ocean,Pacific Ocean,Indian Ocean
What is the powerhouse of the cell?,Mitochondria,Golgi apparatus,Ribosome,Nucleus,Mitochondria
What is the hardest natural substance on Earth?,Iron,Gold,Graphite,Diamond,Iron
What is the powerhouse of the cell?,Nucleus,Mitochondria,Ribosome,Golgi apparatus,Mitochondria
What is the powerhouse of the cell?,Ribosome,Nucleus,Mitochondria,Golgi apparatus,Nucleus
Who painted the Mona Lisa?,Michelangelo,Vincent van Gogh,Pablo Picasso,Leonardo da Vinci,Vincent van Gogh
In which year did the Titanic sink?,1905,1920,1912,1915,1905
Which planet is known as the Red Planet?,Jupiter,Venus,Earth,Mars,Jupiter
What is the powerhouse of the cell?,Mitochondria,Ribosome,Golgi apparatus,Nucleus,Ribosome
What is the capital of France?,Berlin,Rome,Madrid,Paris,Rome
Which planet is known as the Red Planet?,Mars,Jupiter,Earth,Venus,Jupiter
Who painted the Mona Lisa?,Leonardo da Vinci,Michelangelo,Pablo Picasso,Vincent van Gogh,Michelangelo
Which country is home to the kangaroo?,Australia,Canada,South Africa,India,Canada
Who painted the Mona Lisa?,Michelangelo,Leonardo da Vinci,Vincent van Gogh,Pablo Picasso,Leonardo da Vinci
Which country is home to the kangaroo?,Canada,South Africa,Australia,India,Australia
What is the powerhouse of the cell?,Golgi apparatus,Ribosome,Nucleus,Mitochondria,Mitochondria
Which country is home to the kangaroo?,India,Canada,South Africa,Australia,Canada
What is the capital of France?,Madrid,Paris,Rome,Berlin,Berlin
What is the capital of France?,Berlin,Madrid,Rome,Paris,Madrid
In which year did the Titanic sink?,1915,1905,1920,1912,1905
What is the largest ocean on Earth?,Pacific Ocean,Arctic Ocean,Indian Ocean,Atlantic Ocean,Arctic Ocean
In which year did the Titanic sink?,1905,1912,1920,1915,1915
What is the largest ocean on Earth?,Arctic Ocean,Pacific Ocean,Atlantic Ocean,Indian Ocean,Pacific Ocean
What is the powerhouse of the cell?,Golgi apparatus,Ribosome,Mitochondria,Nucleus,Golgi apparatus
What is the capital of France?,Paris,Berlin,Madrid,Rome,Berlin
Who wrote 'To Kill a Mockingbird'?,Mark Twain,Harper Lee,Ernest Hemingway,J.K. Rowling,Ernest Hemingway
Who painted the Mona Lisa?,Michelangelo,Leonardo da Vinci,Vincent van Gogh,Pablo Picasso,Michelangelo
Which element has the chemical symbol 'O'?,Osmium,Oxygen,Gold,Helium,Osmium
Who painted the Mona Lisa?,Vincent van Gogh,Michelangelo,Pablo Picasso,Leonardo da Vinci,Michelangelo
Which element has the chemical symbol 'O'?,Gold,Oxygen,Osmium,Helium,Osmium
Which element has the chemical symbol 'O'?,Oxygen,Helium,Gold,Osmium,Gold
Who wrote 'To Kill a Mockingbird'?,J.K. Rowling,Mark Twain,Ernest Hemingway,Harper Lee,Mark Twain
In which year did the Titanic sink?,1912,1920,1905,1915,1905
Which country is home to the kangaroo?,Australia,Canada,South Africa,India,India
What is the largest ocean on Earth?,Indian Ocean,Pacific Ocean,Arctic Ocean,Atlantic Ocean,Arctic Ocean
